,timestamp,"('AirMonitorAgent', 'AirPollution')","('AirMonitorAgent', 'CarbonDioxide')","('AirMonitorAgent', 'ParticulateMatter')","('AirMonitorAgent', 'VolatileCompounds')","('AirconAgent', 'Aircon0Power')","('AirconAgent', 'Aircon1Power')","('AmbientSensorAgent', 'sensor0_Brightness')","('AmbientSensorAgent', 'sensor0_Humidity')","('AmbientSensorAgent', 'sensor0_Temperature')","('AmbientSensorAgent', 'sensor1_Brightness')","('AmbientSensorAgent', 'sensor1_Humidity')","('AmbientSensorAgent', 'sensor1_Temperature')","('AmbientSensorAgent', 'sensor2_Brightness')","('AmbientSensorAgent', 'sensor2_Humidity')","('AmbientSensorAgent', 'sensor2_Temperature')","('AmbientSensorAgent', 'sensor3_Brightness')","('AmbientSensorAgent', 'sensor3_Humidity')","('AmbientSensorAgent', 'sensor3_Temperature')","('DoorAgent', 'CorrectedUserCount')","('DoorAgent', 'UserCount')","('LightAgent', 'LightGroup1')","('LoungeMonnitServerAgent', 'MDoor')","('LoungeMonnitServerAgent', 'MLight')","('LoungeMonnitServerAgent', 'MRunningMachine')","('LoungeMonnitServerAgent', 'MSofa')","('LoungeMonnitServerAgent', 'MStair')","('LoungeMonnitServerAgent', 'MVendingMachine')","('LoungeMonnitServerAgent', 'seat1')","('LoungeMonnitServerAgent', 'seat2')","('LoungeMonnitServerAgent', 'seat3')","('LoungeMonnitServerAgent', 'seat4')","('LoungeMonnitServerAgent', 'seat5a')","('LoungeMonnitServerAgent', 'seat5b')","('LoungeMonnitServerAgent', 'seat5c')","('LoungeMonnitServerAgent', 'seat6a')","('LoungeMonnitServerAgent', 'seat6b')","('LoungeMonnitServerAgent', 'seat6c')","('LoungeMonnitServerAgent', 'tiltAircon0_Pitch')","('LoungeMonnitServerAgent', 'tiltAircon0_Roll')","('LoungeMonnitServerAgent', 'tiltAircon1_Pitch')","('LoungeMonnitServerAgent', 'tiltAircon1_Roll')","('LoungeMonnitServerAgent', 'totalSeatCount')","('PresenceInferringAgent', 'InferredPresence')","('SmartboardAgent', 'SmartboardPower')","('SoundSensorAgent', 'SoundBackWall2')","('SoundSensorAgent', 'SoundFridge')","('SoundSensorAgent', 'SoundLeftWall3')","('SoundSensorAgent', 'SoundLeftWall4')","('SoundSensorAgent', 'SoundRightWall1')","('SoundSensorAgent', 'SoundRightWall3')","('SoundSensorAgent', 'SoundTV')",changepoint
974,1528668942.0,40.78173467580922,1388.6854120837252,8.852631000487609,383.1492285378279,1,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.06013066658143,1.4432100917963304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-151.50367777399927,178.59566411959986,171.80328734907346,-179.2468840001777,0.9973392488622729,0,0,77.60933879104925,73.67580964051078,74.35840820069409,74.48438011053379,74.13469819979068,71.42145339897132,69.1042008167301,0
975,1528669542.0,40.78173467580922,1388.6854120837252,8.852631000487609,383.1492285378279,1,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.081412856871147,1.4432100917963304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-151.3196410832483,178.38886910935764,171.32327396535413,-179.70828822333732,0.9973392488622729,0,0,77.60933879104925,74.36284317059668,74.35840820069409,74.48438011053379,74.13469819979068,72.00442200694773,68.79219188765043,0
976,1528670142.0,40.78173467580922,1388.6854120837252,8.852631000487609,383.1492285378279,1,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.1026950471608639,1.4432100917963304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-151.66163863430288,178.19182252179633,171.3822620089029,-130.85641246040566,0.9995543241844306,0,0,77.60933879104925,73.9824947897627,74.35840820069409,74.48438011053379,74.13469819979068,71.9793921117488,69.3193253365843,0
977,1528670742.0,40.78173467580922,1388.6854120837252,8.852631000487609,383.1492285378279,0,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.1239772374505808,1.4432100917963304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-70.09341323480041,85.61944252550857,171.3929510989936,-176.06178392414677,0.9995543241844306,0,0,77.60933879104925,73.17003027076235,74.35840820069409,74.48438011053379,74.13469819979068,71.30809244000734,69.37292370659016,0
978,1528671342.0,40.78173467580922,1388.6854120837252,8.852631000487609,383.1492285378279,0,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.1452594277402974,1.4432100917963304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160.02542115686933,-175.06664076632654,171.45613101465324,-179.69400711898865,0.9998202440877204,0,0,77.60933879104925,73.51241338273547,74.35840820069409,74.48438011053379,74.13469819979068,71.50547405226064,69.42047821141766,0
979,1528671942.0,40.78173467580922,1388.6854120837252,8.852631000487609,383.1492285378279,0,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.1665416180300143,1.4432100917963304,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,163.27567710578435,-178.62393320383163,171.55034732173993,-143.20392003559496,0.9999991012204387,1,0,77.60933879104925,73.79445217406338,74.35840820069409,74.48438011053379,74.13469819979068,71.33104865789099,69.57282034808475,0
980,1528683079.0,36.40800250441582,1204.2561363316674,8.66167561675403,332.9559034463608,0,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.232522052227247,2.7841574090218058,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,163.29030859431126,-178.71693999676245,171.40339201637684,-178.35401466755653,0.9999991012204387,0,0,77.60933879104925,73.68016260039296,74.35840820069409,74.48438011053379,74.13469819979068,71.464929557115,69.68833476871113,1
981,1528683679.0,35.96728469038187,1187.6629846533099,8.627532244863021,328.07702587321694,0,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.2985024864244799,2.7841574090218058,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,163.47169259116268,-178.5886665332362,171.23421009382463,35.26362955997332,0.41666648990668625,1,0,77.60933879104925,74.36448958702223,74.35840820069409,74.48438011053379,74.13469819979068,71.34477815327044,69.09270721994957,0
982,1528684465.0,36.40145784507685,1186.0443462574217,9.067950739863013,328.0020540232858,1,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.3535163971631325,2.455161705264403,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-145.02066614817676,171.26260166933528,171.39190086854316,-138.60585240880053,0.08784718495532635,1,0,77.60933879104925,75.32019318630016,74.35840820069409,74.48438011053379,74.13469819979068,71.8108608601363,69.77290360485011,1
983,1528685065.0,36.41302588323961,1187.9462195220792,9.079685177846232,328.00005648564036,1,0,0.00013984149417113235,31.755442569874248,26.250063648385506,1.9610783659347713e-18,30.796040942283597,27.908140739056112,2.0000009076265624,32.0419711846912,27.304548833333335,1.0,33.76934185633823,27.54,1.408530307901785,2.455161705264403,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-151.12120054216123,178.41330887645785,172.1821657724374,-146.59890118722737,0.08784718495532635,0,0,77.60933879104925,74.76631117827384,74.35840820069409,74.48438011053379,74.13469819979068,72.20714179508447,68.67356914934916,0
